Severity,WCAG Rule,Category,WCAG Criterion,Element,Message,Snippet
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.19:1 (need 4.5:1) — rgb(110,110,115) on rgb(196,93,0)","Your market differentiators"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Administration and Management"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Co-Founder/Chief Pi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Applied AI"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.22:1 (need 4.5:1) — rgb(178,80,0) on rgb(196,93,0)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Vice President, Glo"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Charismatic Leadership"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Co-Founder/Chief Pi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Critical Thinking"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Co-Founder/Chief Pi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Customer and Personal Service"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Co-Founder/Chief Pi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Design"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Design Thinking"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Vice President, Glo"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Go-to-Market Strategy"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.22:1 (need 4.5:1) — rgb(178,80,0) on rgb(196,93,0)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Innovation"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Vice President, Glo"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Management"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.22:1 (need 4.5:1) — rgb(178,80,0) on rgb(196,93,0)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Vice President, Glo"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Management of Financial Resources"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.22:1 (need 4.5:1) — rgb(178,80,0) on rgb(196,93,0)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Co-Founder/Chief Pi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Management of Personnel Resources"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.22:1 (need 4.5:1) — rgb(178,80,0) on rgb(196,93,0)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Touring/Studio Musi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Public Speaking"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Touring/Studio Musi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Strategic Communications"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.22:1 (need 4.5:1) — rgb(178,80,0) on rgb(196,93,0)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Vice President, Glo"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Web Design"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.22:1 (need 4.5:1) — rgb(178,80,0) on rgb(196,93,0)","⚠"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Writing"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.20:1 (need 4.5:1) — rgb(30,126,52) on rgb(196,93,0)","Mastery"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Rare"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.00:1 (need 4.5:1) — rgb(155,89,182) on rgb(155,89,182)","Inferred"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > div","Contrast ratio 1.07:1 (need 4.5:1) — rgb(117,117,120) on rgb(196,93,0)","VP, Global Strategy, GM CAB & Futurist · Co-Founder/Chief Pi"
warning,2.1.1,Keyboard,Keyboard,"div.cards-grid > div > div > div","Clickable div missing role/tabindex for keyboard access",""
warning,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 3.94:1 (need 4.5:1) — rgb(29,29,31) on rgb(196,93,0)","Complex Problem Solving"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","★"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.09:1 (need 4.5:1) — rgb(155,89,182) on rgb(196,93,0)","✨"
critical,1.4.3,Color Contrast,Contrast (Minimum),"div > div > div > span","Contrast ratio 1.25:1 (need 4.5:1) — rgb(173,80,0) on rgb(196,93,0)","Expert"
